"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79"
"Batch1_Cell11",0,0,0,0,0,0,3.55891951212757,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67641681219104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55891951212757,1.8860939500141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55891951212757,0,0,0,0,2.67641681219104,0,1.8860939500141,0,1.8860939500141,0,0,0,2.67641681219104
"Batch1_Cell12",2.66488960781089,0,0,0,1.04848560985482,0,3.08380954852119,0,1.04848560985482,0,0,1.04848560985482,0,0,0,0,0,0,0,1.04848560985482,1.64925451036686,0,0,1.64925451036686,0,0,0,0,0,0,1.04848560985482,3.54640995720214,0,0,1.04848560985482,0,1.04848560985482,0,0,0,0,0,0,0,0,0,0,1.04848560985482,0,3.4080621030796,1.64925451036686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07213073878604,0,0,0,0,0,0,2.07213073878604,0,1.04848560985482,0,0,0,1.04848560985482
"Batch1_Cell13",2.84134037347932,0,0.642122321912578,0,0,0.642122321912578,3.39651514225852,0.642122321912578,0,0,0.642122321912578,0,0,0,0,0,0,0.642122321912578,0,0,0.642122321912578,0,0,2.72382780034343,0,0,0,0,0,2.45548799180225,0,2.59588778992588,0,0,0,1.69710350522363,0,0.642122321912578,0,0,0,0,0,0,0,0,0,0,1.69710350522363,0,0,0.642122321912578,0,0,0,1.42323921283137,0,0,0,0,1.08491231396913,0,0,1.08491231396913,0,0,0,1.08491231396913,0.642122321912578,0,0.642122321912578,3.31758951182221,0,0.642122321912578,0,0,0.642122321912578,0,0.642122321912578
"Batch1_Cell14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06791440649176,0,0,0,0,0,0,1.79155047740382,0,0,0,0,4.18848574838373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06791440649176,4.53336442463408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batch1_Cell15",3.9792209483422,1.79155047740382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56650706710437,0,0,0,0,0,0,0,4.53336442463408,1.79155047740382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79155047740382,0,0,0,0,0,0,0,3.06791440649176,0,0,0,0,0,0,0,0
"Batch1_Cell16",2.69591375064301,1.49904058465809,0,0,0.686028867355662,0,2.94435964970467,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01587027969272,0,0,0,0,0,0,0.686028867355662,0,0,0,3.25155021085624,0.686028867355662,0,0,0,0.686028867355662,0,1.14906283017865,0,0,0,0,0,0,0,0,1.14906283017865,0.686028867355662,3.42513470708181,0.686028867355662,0,0,1.49904058465809,0,0,0,0,1.14906283017865,0,0.686028867355662,0,0.686028867355662,1.14906283017865,0,2.21819020852835,0,0,0,0,1.78047629725405,0,0.686028867355662,0,0.686028867355662,0,0,0,1.78047629725405
"Batch1_Cell17",1.39475416891487,0,0,0,0,0.49299075672443,2.82992876918102,0,0,0,0.49299075672443,0,0,0,0,0,0,0,0,0,0,0,0,1.39475416891487,0.49299075672443,0,0,0,0,1.39475416891487,0,2.74481360983083,0,0,0.49299075672443,0.49299075672443,0,0.49299075672443,0,0.49299075672443,0,0,0,0,0,0,0,0,3.37424176463615,0.49299075672443,0,0.85974594641208,0,0.49299075672443,0,0,0,0,0.49299075672443,0,0,1.15190950835145,0,0.49299075672443,0,0,0.49299075672443,1.6025503734791,1.78415055284796,0,1.94542623462947,4.04261418929889,0,0.85974594641208,0,0,0,0,0
"Batch1_Cell18",3.22410741381091,1.47927877983239,0.674488728934497,0,0.674488728934497,0,2.19414580781495,0,0,0,0,0.674488728934497,0,0,0,0,0,0.674488728934497,0,0.674488728934497,0.674488728934497,0,0,2.66999720752162,0,0,0.674488728934497,0,0,0.674488728934497,0,3.22410741381091,0,0,0,0,0,0,1.99282472605918,0,0,0,0,0,0,0,0,1.13228868451227,0,2.66999720752162,1.13228868451227,0,0,1.13228868451227,0,0,0,0,1.47927877983239,0,0,0,0,0,0,1.99282472605918,0,0,0,0,1.75878253666439,0.674488728934497,1.75878253666439,0,0,0,0,0,1.75878253666439
"Batch1_Cell19",2.86620356138234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86620356138234,0,0,0,2.86620356138234,0,0,0,0,0,0,0,4.70960803341469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86620356138234,2.86620356138234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batch1_Cell20",3.38365708463907,0.637032374445543,0,0,0,0,1.41434172157503,0,0,0,0,0.637032374445543,0,0,0.637032374445543,0,0,0,0,0,1.07741661624587,0,0,2.44387600469358,0,0,0,0.637032374445543,0,1.07741661624587,0,3.38365708463907,0.637032374445543,0,0,0,0,0,0,0,0,0.637032374445543,0,0,0,0,0,0.637032374445543,0,2.44387600469358,0,0,0,1.07741661624587,0,0,0,0,1.91671924296305,0,0.637032374445543,0,0,0,0,2.28862102368393,0,0,0,0,1.91671924296305,0,2.11462082796635,0,0.637032374445543,0,0,0,2.82911821767978
"Batch1_Cell21",3.97085588891343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86620356138234,0,0,0,1.63093954567059,0,0,1.63093954567059,0,0,0,0,3.52177085322056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63093954567059,0,0,0,0,0,0,0,1.63093954567059,3.76371728718104,0,0,0,0,0,0,1.63093954567059,0,0,0,0,1.63093954567059,0,0,0,0,0,0,0,0
